Input Length, Possible Word Count, Time To Find
4, 191, 3.79015
1, 881, 1.36657
4, 403, 3.96633
5, 50, 6.14692
7, 32, 12.1865
4, 403, 3.95827
8, 5, 6.4038
8, 5, 6.42546
4, 101, 1.45902
4, 101, 1.48839
4, 91, 1.52917
1, 882, 0.513367
4, 220, 1.54703
5, 42, 2.49849
5, 42, 2.47436
5, 20, 2.49648
3, 340, 0.991762
6, 23, 3.28993
5, 65, 2.29044
7, 11, 7.11252
3, 543, 0.994732
10, 4, 11.9667
7, 10, 5.19711
4, 129, 1.67484
7, 3, 13.2774
7, 2, 13.08
4, 299, 9.87245
4, 198, 9.80076
5, 122, 6.79558
7, 18, 13.2878
4, 95, 3.93198
8, 32, 17.9336
4, 95, 3.76128
4, 96, 3.7107
4, 278, 3.78347
4, 96, 4.00719
5, 123, 5.79946
4, 184, 3.71285
6, 24, 9.04688
3, 452, 2.25819
4, 275, 4.06191
3, 305, 2.24038
5, 47, 6.0847
4, 142, 3.61949
2, 1116, 1.21249
4, 280, 3.81795
3, 191, 2.20448
4, 293, 3.81363
6, 46, 9.09773
4, 211, 3.55291
4, 294, 3.66416
6, 50, 8.42553
4, 211, 3.54885
3, 298, 2.14181
3, 299, 2.08674
7, 69, 11.9816
4, 402, 3.6017
8, 4, 16.8906
4, 179, 3.58609
7, 21, 12.1432
6, 37, 9.15674
10, 1, 32.7577
9, 4, 25.0967
9, 1, 25.3846
9, 1, 24.9887
13, 1, 67.385
